family_name,order_name
Acanthocystidae,Centrohelida
Aglajidae,Cephalaspidea
Agriolimacidae,Pulmonata
Allogromiidae,Allogromiida
Amoebidae,Euamoebida
Amylovoracidae,Trichostomatida
Ancylidae,Basommatophora
Ancyrocephalidae,Monopisthocotylea
Ancyromonadidae,Ancyromonadida
Andaluciidae,Jakobida
Anystidae,Trombidiformes
Aplysiidae,Anaspidea
Apusomonadidae,Apusomonadida
Argnidae,Pulmonata
Arionidae,Pulmonata
Arrenuridae,Trombidiformes
Ascopariidae,Nemertodermatida
Assimineidae,Littorinimorpha
Aulacoseiraceae,Aulacoseirales
Bacillariaceae,Bacillariales
Bdellidae,Trombidiformes
Bothrioplanidae,Bothrioplanida
Botryococcaceae,Trebouxiales
Bovidae,Artiodactyla
Branchiostomidae,Leptocardii
Bulimulidae,Pulmonata
Caecidae,Littorinimorpha
Caliphyllidae,Sacoglossa
Calliostomatidae,Vetigastropoda
Calyptraeidae,Littorinimorpha
Capsalidae,Monopisthocotylea
Carinomidae,Paleonemertea
Catenariaceae,Blastocladiales
Catenulidae,Catenulida
Cephalothricidae,Paleonemertea
Cephalotrichidae,Paleonemertea
Cepolidae,Pulmonata
Cerastidae,Pulmonata
Cerithiidae,Caenogastropoda crown group
Cerithiopsidae,Caenogastropoda crown group
Cervidae,Artiodactyla
Childiidae,Acoela
Chilinidae,Basommatophora
Chlamydophryidae,Tectofilosida
Chlorarachniaceae,Chlorarachniida
Chordariidae,Catenulida
Clathrulinidae,Desmothoracida
Coccomyxaceae,Chlamydomonadales
Cochlicopidae,Pulmonata
Collodictyonidae,Diphylatia
Colloniidae,Vetigastropoda
Colpodellidae,Colpodellida
Conidae,Neogastropoda
Convolutidae,Acoela
Cunaxidae,Trombidiformes
Cyanophoraceae,Glaucocystales
Cylindrellinidae,Pulmonata
Cymbellaceae,Cymbellales
Cypraeidae,Littorinimorpha
Dactylopodida_incertae_sedis,Dactylopodida
Diaphanidae,Cephalaspidea
Dicyrtomidae,Symphypleona
Dinophyceae incertae sedis,Dinophyceae incertae sedis
Dinophilidae,Polychaeta incertae sedis
Diplectanidae,Monopisthocotylea
Diplommatinidae,Caenogastropoda crown group
Ebriidae,Ebriida
Echinamoebidae,Euamoebida
Ellobiidae,Pulmonata
Ellobiopsidae,Ellobiopsida
Entomobryidae,Entomobryomorpha
Entomoneidaceae,Surirellales
Epistylidae,Peritrichia
Ereynetidae,Trombidiformes
Eriophyidae,Trombidiformes
Erythraeidae,Trombidiformes
Eupodidae,Trombidiformes
Fasciolariidae,Neogastropoda
Fissurellidae,Vetigastropoda
Gastrodontidae,Pulmonata
Gastropteridae,Cephalaspidea
Gerreidae,Perciformes
Gloeochaetaceae,Gloeochaetales
Gomphonemataceae,Cymbellales
Gromiidae,Gromiida
Gymnodiniaceae,Gymnodiniales
Haemulidae,Perciformes
Halacaridae,Trombidiformes
Haliotidae,Vetigastropoda
Haminoeidae,Cephalaspidea
Haploposthiidae,Acoela
Haplosporidiidae,Haplosporida
Haplotrematidae,Pulmonata
Harrimaniidae,Enteropneusta
Hartmannellidae,Euamoebida
Helicidae,Pulmonata
Helminthoglyptidae,Pulmonata
Heterophryidae,Centrohelida
Histionidae,Jakobida
Hofsteniidae,Acoela
Hubrechtidae,Paleonemertea
Hydrobiidae,Littorinimorpha
Hydryphantidae,Trombidiformes
Hyphochytriaceae,Hyphochytriida
Hypogastruridae,Collembola
Isodiametridae,Acoela
Isotomidae,Entomobryomorpha
Jakobidae,Jakobida
Johnstonianidae,Trombidiformes
Katablepharidaceae,Katablepharidales
Labyrinthulaceae,Labyrinthulomycetes
Leotiomycetes_incertae_sedis,Leotiomycetes_incertae_sedis
Lepismatidae,Zygentoma
Leptocylindraceae,Leptocylindrales
Licmophoraceae,Licmophorales
Limacidae,Pulmonata
Limapontiidae,Sacoglossa
Limnesiidae,Trombidiformes
Littorinidae,Littorinimorpha
Loxosomatidae,Solitaria
Lutjanidae,Perciformes
Lymnaeidae,Basommatophora
Malawimonadidae,Malawimonadales
Mantamonadidae,Mantamonadida
Mastigamoebidae,Mastigamoebida
Mecynostomidae,Acoela
Microtrombidiidae,Trombidiformes
Milacidae,Pulmonata
Mitridae,Neogastropoda
Moronidae,Perciformes
Muricidae,Neogastropoda
Myxotrichaceae,Leotiomycetes_incertae_sedis
