"order_name","class_name","phylum_name","kingdom_name","superkingdom_name"
"Mastigamoebida","Archamoebea","Archamoebae","Conosa","Amoebozoa"
"Pelobiontida","Archamoebea","Archamoebae","Conosa","Amoebozoa"
"Echinosteliales","Myxomycetes","Mycetozoa","Conosa","Amoebozoa"
"Liceales","Myxomycetes","Mycetozoa","Conosa","Amoebozoa"
"Liceida","Myxomycetes","Mycetozoa","Conosa","Amoebozoa"
"Physarales","Myxomycetes","Mycetozoa","Conosa","Amoebozoa"
"Physariida","Myxomycetes","Mycetozoa","Conosa","Amoebozoa"
"Protosteliales","Myxomycetes","Mycetozoa","Conosa","Amoebozoa"
"Stemonitida","Myxomycetes","Mycetozoa","Conosa","Amoebozoa"
"Trichiida","Myxomycetes","Mycetozoa","Conosa","Amoebozoa"
"Dactylopodida","Flabellinia","Discosea","Lobosa","Amoebozoa"
"Himatismenida","Flabellinia","Discosea","Lobosa","Amoebozoa"
"Pellitida","Flabellinia","Discosea","Lobosa","Amoebozoa"
"Stygamoebida","Flabellinia","Discosea","Lobosa","Amoebozoa"
"Trichosida","Flabellinia","Discosea","Lobosa","Amoebozoa"
"Vannellida","Flabellinia","Discosea","Lobosa","Amoebozoa"
"Centramoebida","Longamoebia","Discosea","Lobosa","Amoebozoa"
"Dermamoebida","Longamoebia","Discosea","Lobosa","Amoebozoa"
"Longamoebia","Longamoebia","Discosea","Lobosa","Amoebozoa"
"Thecamoebida","Longamoebia","Discosea","Lobosa","Amoebozoa"
"Arcellinida","Tubulinea","Tubulinea","Lobosa","Amoebozoa"
"Echinamoebida","Tubulinea","Tubulinea","Lobosa","Amoebozoa"
"Euamoebida","Tubulinea","Tubulinea","Lobosa","Amoebozoa"
"Leptomyxida","Tubulinea","Tubulinea","Lobosa","Amoebozoa"
"Nolandida","Tubulinea","Tubulinea","Lobosa","Amoebozoa"
"Breviatida","Breviatea","Protamoebae","Protamoebae","Amoebozoa"
"Ancyromonadida","Ancyromonadida","Ancyromonadea","Apusozoa","Apusozoa"
"Mantamonadida","Mantamonadida","Mantamonadea","Apusozoa","Apusozoa"
"Planomonadida","Planomonadida","Planomonadea","Apusozoa","Apusozoa"
"Apusomonadida","Apusomonadida","Thecomonadea","Apusozoa","Apusozoa"
"Glaucocystales","Glaucocystophyceae","Glaucophyta","Glaucophyta","Archaeplastida"
"Gloeochaetales","Glaucocystophyceae","Glaucophyta","Glaucophyta","Archaeplastida"
